REF_DATE,GEO,DGUID,Sex,Age group,Persons with income,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $75,000 and over",Number,223,units,0,v20797206,19.1.3.10,33990,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $100,000 and over",Number,223,units,0,v20797207,19.1.3.11,14220,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $150,000 and over",Number,223,units,0,v20797208,19.1.3.12,4860,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $200,000 and over",Number,223,units,0,v20797209,19.1.3.13,2610,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $250,000 and over",Number,223,units,0,v20797210,19.1.3.14,1640,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,Total persons with income,Number,223,units,0,v20797213,19.1.4.1,779750,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income under $5,000",Number,223,units,0,v20797214,19.1.4.2,82200,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $5,000 and over",Number,223,units,0,v20797215,19.1.4.3,697550,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $10,000 and over",Number,223,units,0,v20797216,19.1.4.4,637740,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $15,000 and over",Number,223,units,0,v20797217,19.1.4.5,579780,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $20,000 and over",Number,223,units,0,v20797218,19.1.4.6,524910,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $25,000 and over",Number,223,units,0,v20797219,19.1.4.7,470670,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $35,000 and over",Number,223,units,0,v20797220,19.1.4.8,355890,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $50,000 and over",Number,223,units,0,v20797221,19.1.4.9,213100,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $75,000 and over",Number,223,units,0,v20797222,19.1.4.10,88390,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $100,000 and over",Number,223,units,0,v20797223,19.1.4.11,46250,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $150,000 and over",Number,223,units,0,v20797224,19.1.4.12,20850,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $200,000 and over",Number,223,units,0,v20797225,19.1.4.13,12690,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,35 to 44 years,"Persons with income of $250,000 and over",Number,223,units,0,v20797226,19.1.4.14,8700,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,Total persons with income,Number,223,units,0,v20797229,19.1.5.1,599670,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income under $5,000",Number,223,units,0,v20797230,19.1.5.2,54130,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $5,000 and over",Number,223,units,0,v20797231,19.1.5.3,545540,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $10,000 and over",Number,223,units,0,v20797232,19.1.5.4,500230,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $15,000 and over",Number,223,units,0,v20797233,19.1.5.5,455550,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $20,000 and over",Number,223,units,0,v20797234,19.1.5.6,415350,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $25,000 and over",Number,223,units,0,v20797235,19.1.5.7,375780,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $35,000 and over",Number,223,units,0,v20797236,19.1.5.8,292390,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $50,000 and over",Number,223,units,0,v20797237,19.1.5.9,187540,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $75,000 and over",Number,223,units,0,v20797238,19.1.5.10,82890,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $100,000 and over",Number,223,units,0,v20797239,19.1.5.11,44100,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $150,000 and over",Number,223,units,0,v20797240,19.1.5.12,21210,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $200,000 and over",Number,223,units,0,v20797241,19.1.5.13,13580,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,45 to 54 years,"Persons with income of $250,000 and over",Number,223,units,0,v20797242,19.1.5.14,9670,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,Total persons with income,Number,223,units,0,v20797245,19.1.6.1,366010,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income under $5,000",Number,223,units,0,v20797246,19.1.6.2,39280,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $5,000 and over",Number,223,units,0,v20797247,19.1.6.3,326740,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $10,000 and over",Number,223,units,0,v20797248,19.1.6.4,283320,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $15,000 and over",Number,223,units,0,v20797249,19.1.6.5,247420,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $20,000 and over",Number,223,units,0,v20797250,19.1.6.6,220220,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $25,000 and over",Number,223,units,0,v20797251,19.1.6.7,195000,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $35,000 and over",Number,223,units,0,v20797252,19.1.6.8,145770,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $50,000 and over",Number,223,units,0,v20797253,19.1.6.9,88930,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $75,000 and over",Number,223,units,0,v20797254,19.1.6.10,39460,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $100,000 and over",Number,223,units,0,v20797255,19.1.6.11,22020,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $150,000 and over",Number,223,units,0,v20797256,19.1.6.12,10880,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $200,000 and over",Number,223,units,0,v20797257,19.1.6.13,6990,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,55 to 64 years,"Persons with income of $250,000 and over",Number,223,units,0,v20797258,19.1.6.14,5060,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,Total persons with income,Number,223,units,0,v20797261,19.1.7.1,294200,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income under $5,000",Number,223,units,0,v20797262,19.1.7.2,16210,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $5,000 and over",Number,223,units,0,v20797263,19.1.7.3,277990,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $10,000 and over",Number,223,units,0,v20797264,19.1.7.4,244710,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $15,000 and over",Number,223,units,0,v20797265,19.1.7.5,184360,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $20,000 and over",Number,223,units,0,v20797266,19.1.7.6,140390,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $25,000 and over",Number,223,units,0,v20797267,19.1.7.7,110180,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $35,000 and over",Number,223,units,0,v20797268,19.1.7.8,65510,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $50,000 and over",Number,223,units,0,v20797269,19.1.7.9,34230,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $75,000 and over",Number,223,units,0,v20797270,19.1.7.10,14720,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $100,000 and over",Number,223,units,0,v20797271,19.1.7.11,8720,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $150,000 and over",Number,223,units,0,v20797272,19.1.7.12,4590,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $200,000 and over",Number,223,units,0,v20797273,19.1.7.13,2990,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,65 to 74 years,"Persons with income of $250,000 and over",Number,223,units,0,v20797274,19.1.7.14,2170,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,Total persons with income,Number,223,units,0,v20797277,19.1.8.1,217910,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income under $5,000",Number,223,units,0,v20797278,19.1.8.2,6490,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $5,000 and over",Number,223,units,0,v20797279,19.1.8.3,211420,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $10,000 and over",Number,223,units,0,v20797280,19.1.8.4,196220,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $15,000 and over",Number,223,units,0,v20797281,19.1.8.5,137770,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $20,000 and over",Number,223,units,0,v20797282,19.1.8.6,97490,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $25,000 and over",Number,223,units,0,v20797283,19.1.8.7,73860,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $35,000 and over",Number,223,units,0,v20797284,19.1.8.8,43440,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $50,000 and over",Number,223,units,0,v20797285,19.1.8.9,22710,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $75,000 and over",Number,223,units,0,v20797286,19.1.8.10,9740,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $100,000 and over",Number,223,units,0,v20797287,19.1.8.11,5490,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $150,000 and over",Number,223,units,0,v20797288,19.1.8.12,2540,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $200,000 and over",Number,223,units,0,v20797289,19.1.8.13,1500,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,75 years and over,"Persons with income of $250,000 and over",Number,223,units,0,v20797290,19.1.8.14,1040,,,t,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,Total persons with income,Number,223,units,0,v20797293,19.2.1.1,1612670,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income under $5,000",Number,223,units,0,v20797294,19.2.1.2,155220,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $5,000 and over",Number,223,units,0,v20797295,19.2.1.3,1457440,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $10,000 and over",Number,223,units,0,v20797296,19.2.1.4,1307040,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $15,000 and over",Number,223,units,0,v20797297,19.2.1.5,1157120,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $20,000 and over",Number,223,units,0,v20797298,19.2.1.6,1031520,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $25,000 and over",Number,223,units,0,v20797299,19.2.1.7,917860,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $35,000 and over",Number,223,units,0,v20797300,19.2.1.8,696690,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $50,000 and over",Number,223,units,0,v20797301,19.2.1.9,433600,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $75,000 and over",Number,223,units,0,v20797302,19.2.1.10,194320,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $100,000 and over",Number,223,units,0,v20797303,19.2.1.11,106930,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $150,000 and over",Number,223,units,0,v20797304,19.2.1.12,51810,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $200,000 and over",Number,223,units,0,v20797305,19.2.1.13,33200,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,"Persons with income of $250,000 and over",Number,223,units,0,v20797306,19.2.1.14,23660,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,Median total income,Dollars,81,units,0,v20797307,19.2.1.15,30000,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,All age groups,5-year percent change of median income,Percent,239,units,0,v20797308,19.2.1.16,15,,,t,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,Total persons with income,Number,223,units,0,v20797309,19.2.2.1,220510,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income under $5,000",Number,223,units,0,v20797310,19.2.2.2,68290,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $5,000 and over",Number,223,units,0,v20797311,19.2.2.3,152220,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $10,000 and over",Number,223,units,0,v20797312,19.2.2.4,97760,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $15,000 and over",Number,223,units,0,v20797313,19.2.2.5,66480,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $20,000 and over",Number,223,units,0,v20797314,19.2.2.6,46220,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $25,000 and over",Number,223,units,0,v20797315,19.2.2.7,31380,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $35,000 and over",Number,223,units,0,v20797316,19.2.2.8,11990,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $50,000 and over",Number,223,units,0,v20797317,19.2.2.9,2900,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $75,000 and over",Number,223,units,0,v20797318,19.2.2.10,400,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $100,000 and over",Number,223,units,0,v20797319,19.2.2.11,150,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $150,000 and over",Number,223,units,0,v20797320,19.2.2.12,60,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $200,000 and over",Number,223,units,0,v20797321,19.2.2.13,40,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,0 to 24 years,"Persons with income of $250,000 and over",Number,223,units,0,v20797322,19.2.2.14,30,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,Total persons with income,Number,223,units,0,v20797325,19.2.3.1,318680,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income under $5,000",Number,223,units,0,v20797326,19.2.3.2,25660,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $5,000 and over",Number,223,units,0,v20797327,19.2.3.3,293020,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $10,000 and over",Number,223,units,0,v20797328,19.2.3.4,266580,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $15,000 and over",Number,223,units,0,v20797329,19.2.3.5,242670,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $20,000 and over",Number,223,units,0,v20797330,19.2.3.6,220230,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $25,000 and over",Number,223,units,0,v20797331,19.2.3.7,196480,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $35,000 and over",Number,223,units,0,v20797332,19.2.3.8,141410,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $50,000 and over",Number,223,units,0,v20797333,19.2.3.9,73230,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $75,000 and over",Number,223,units,0,v20797334,19.2.3.10,24340,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $100,000 and over",Number,223,units,0,v20797335,19.2.3.11,10580,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $150,000 and over",Number,223,units,0,v20797336,19.2.3.12,3820,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $200,000 and over",Number,223,units,0,v20797337,19.2.3.13,2130,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,25 to 34 years,"Persons with income of $250,000 and over",Number,223,units,0,v20797338,19.2.3.14,1360,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,Total persons with income,Number,223,units,0,v20797341,19.2.4.1,378540,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income under $5,000",Number,223,units,0,v20797342,19.2.4.2,23740,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $5,000 and over",Number,223,units,0,v20797343,19.2.4.3,354800,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $10,000 and over",Number,223,units,0,v20797344,19.2.4.4,329170,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $15,000 and over",Number,223,units,0,v20797345,19.2.4.5,304590,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $20,000 and over",Number,223,units,0,v20797346,19.2.4.6,283970,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $25,000 and over",Number,223,units,0,v20797347,19.2.4.7,262410,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $35,000 and over",Number,223,units,0,v20797348,19.2.4.8,212730,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $50,000 and over",Number,223,units,0,v20797349,19.2.4.9,139250,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $75,000 and over",Number,223,units,0,v20797350,19.2.4.10,63080,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $100,000 and over",Number,223,units,0,v20797351,19.2.4.11,34590,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $150,000 and over",Number,223,units,0,v20797352,19.2.4.12,16350,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $200,000 and over",Number,223,units,0,v20797353,19.2.4.13,10310,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,35 to 44 years,"Persons with income of $250,000 and over",Number,223,units,0,v20797354,19.2.4.14,7220,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,45 to 54 years,Total persons with income,Number,223,units,0,v20797357,19.2.5.1,291770,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,45 to 54 years,"Persons with income under $5,000",Number,223,units,0,v20797358,19.2.5.2,17470,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,45 to 54 years,"Persons with income of $5,000 and over",Number,223,units,0,v20797359,19.2.5.3,274300,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,45 to 54 years,"Persons with income of $10,000 and over",Number,223,units,0,v20797360,19.2.5.4,255710,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,45 to 54 years,"Persons with income of $15,000 and over",Number,223,units,0,v20797361,19.2.5.5,236950,,,,0
2000,"Toronto, Ontario",2016S0503535,Males,45 to 54 years,"Persons with income of $20,000 and over",Number,223,units,0,v20797362,19.2.5.6,221510,,,,0
